symbol,trades,win_rate,expectancy_R,profit_factor,max_dd_pct,long_count,short_count,ls_balance,avg_score_winners,avg_score_losers,status,notes
BTCUSDT,955,33.5,-0.453,0.48,224.8,186,769,19%L/81%S,97.19,96.9,OK,
ETHUSDT,1258,37.4,-0.272,0.64,165.3,108,1150,9%L/91%S,96.92,96.93,OK,
XRPUSDT,1280,43.8,-0.079,0.88,82.4,273,1007,21%L/79%S,97.01,96.9,OK,
BNBUSDT,905,40.2,-0.228,0.72,102.9,462,443,51%L/49%S,97.18,97.12,OK,
SOLUSDT,1170,40.8,-0.115,0.82,81.6,271,899,23%L/77%S,96.77,96.93,OK,
TRXUSDT,524,31.9,-0.775,0.30,199.2,524,0,100%L/0%S,96.49,96.27,OK,0 shorts — long-only behavior
DOGEUSDT,1267,47.8,0.127,1.21,47.5,310,957,24%L/76%S,97.3,96.82,OK,
HYPEUSDT,1039,48.4,0.211,1.38,30.3,625,414,60%L/40%S,96.9,96.21,OK,
ZECUSDT,1043,49.7,0.294,1.57,17.4,572,471,55%L/45%S,96.53,96.16,OK,
ADAUSDT,1183,42.5,-0.052,0.92,105.9,251,932,21%L/79%S,97.31,96.91,OK,
