symbol,trades,win_rate,expectancy_R,profit_factor,max_dd_pct,long_count,short_count,ls_balance,avg_score_winners,avg_score_losers,status,notes
XMRUSDT,755,33.5,-0.228,0.71,88.3,203,552,27%L/73%S,97.46,97.81,OK,
BCHUSDT,451,53.0,0.239,1.41,15.7,0,451,0%L/100%S,97.54,97.81,OK,0 longs — short-only behavior
TONUSDT,216,67.6,0.868,3.42,9.5,18,198,8%L/92%S,98.37,97.9,OK,
XLMUSDT,900,44.2,-0.034,0.95,43.6,162,738,18%L/82%S,97.71,97.75,OK,
LINKUSDT,750,45.1,0.021,1.03,44.9,172,578,22%L/77%S,97.61,97.45,OK,
CCUSDT,571,34.9,-0.328,0.61,114.4,220,351,38%L/61%S,97.97,98.06,OK,
LTCUSDT,759,38.6,-0.228,0.71,96.7,124,635,16%L/83%S,98.33,97.98,OK,
MUSDT,701,39.5,-0.074,0.89,82.7,195,506,27%L/72%S,97.47,97.48,OK,
SUIUSDT,809,46.7,0.14,1.24,54.8,197,612,24%L/75%S,97.58,97.34,OK,
AVAXUSDT,887,39.5,-0.122,0.82,86.1,261,626,29%L/70%S,97.15,97.23,OK,
ICPUSDT,121,28.9,-0.24,0.67,18.6,70,51,57%L/42%S,94.63,97.42,OK,
BGBUSDT,519,32.2,-0.883,0.27,231.5,49,470,9%L/90%S,97.45,96.78,OK,
UNIUSDT,809,44.9,0.025,1.04,36.5,165,644,20%L/79%S,98.22,97.83,OK,
