symbol,ts,side,entry,sl,tp,exit,outcome,bars_held,r_value,r_net,score,atr_pct
BTCUSDT,1776675900000,long,74910.0,74524.553571,75873.616071,75156.2,time,60,0.639,0.406,100,0.206
BTCUSDT,1776716400000,long,76390.0,76123.125,77057.1875,76123.125,sl,9,-1.0,-1.343,100,0.14
BTCUSDT,1776823800000,long,76697.9,76356.310714,77551.873214,77551.873214,tp,9,2.5,2.231,100,0.178
BTCUSDT,1776834900000,long,77876.7,77541.271429,78715.271429,77968.4,time,60,0.273,-0.005,100,0.172
BTCUSDT,1776837000000,long,78041.7,77504.075,79385.7625,78068.1,time,60,0.049,-0.125,100,0.276
BTCUSDT,1776843600000,long,78018.8,77782.728571,78608.978571,78133.2,time,60,0.485,0.088,100,0.121
BTCUSDT,1776844800000,long,78008.8,77733.835714,78696.210714,78238.3,time,60,0.835,0.494,100,0.141
BTCUSDT,1776859800000,long,78370.5,78091.589286,79067.776786,78091.589286,sl,3,-1.0,-1.337,100,0.142
BTCUSDT,1776863700000,long,78390.1,78035.671429,79276.171429,79276.171429,tp,31,2.5,2.235,100,0.181
BTCUSDT,1776871800000,long,79030.9,78474.4,80422.15,78474.4,sl,57,-1.0,-1.17,100,0.282
BTCUSDT,1776925200000,long,78260.3,77995.496429,78922.308929,77995.496429,sl,15,-1.0,-1.355,100,0.135
BTCUSDT,1776995400000,long,78341.8,78024.317857,79135.505357,78024.317857,sl,17,-1.0,-1.296,100,0.162
BTCUSDT,1776996000000,long,78374.8,78047.817857,79192.255357,78047.817857,sl,10,-1.0,-1.288,100,0.167
BTCUSDT,1777035600000,long,78319.9,77996.739286,79127.801786,77996.739286,sl,10,-1.0,-1.291,100,0.165
BTCUSDT,1777083900000,long,77596.4,77476.489286,77896.176786,77476.489286,sl,31,-1.0,-1.777,100,0.062
BTCUSDT,1777086000000,long,77605.9,77505.292857,77857.417857,77505.292857,sl,5,-1.0,-1.926,100,0.052
BTCUSDT,1777088400000,long,77631.9,77540.632143,77860.069643,77540.632143,sl,16,-1.0,-2.021,100,0.047
BTCUSDT,1777110000000,long,77693.0,77601.142857,77922.642857,77601.142857,sl,20,-1.0,-2.015,100,0.047
BTCUSDT,1777110300000,long,77713.9,77616.275,77957.9625,77616.275,sl,19,-1.0,-1.955,100,0.05
BTCUSDT,1777111200000,long,77724.0,77603.714286,78024.714286,77603.714286,sl,16,-1.0,-1.775,100,0.062
BTCUSDT,1777155900000,long,77520.0,77413.678571,77785.803571,77413.678571,sl,25,-1.0,-1.875,100,0.055
BTCUSDT,1777156200000,long,77583.0,77466.053571,77875.366071,77466.053571,sl,21,-1.0,-1.796,100,0.06
BTCUSDT,1777189800000,long,78010.1,77903.171429,78277.421429,77903.171429,sl,21,-1.0,-1.875,100,0.055
BTCUSDT,1777192200000,long,78085.5,77976.982143,78356.794643,77976.982143,sl,2,-1.0,-1.863,100,0.056
BTCUSDT,1777192500000,long,78095.9,77974.185714,78400.185714,77974.185714,sl,3,-1.0,-1.77,100,0.062
BTCUSDT,1777241100000,long,78480.2,78001.396429,79677.208929,78001.396429,sl,5,-1.0,-1.197,100,0.244
BTCUSDT,1777241700000,long,78701.8,78169.389286,80032.826786,78169.389286,sl,3,-1.0,-1.177,100,0.271
BTCUSDT,1777336800000,long,77356.6,77096.117857,78007.805357,77096.117857,sl,10,-1.0,-1.356,100,0.135
BTCUSDT,1777345500000,short,76733.4,77060.596429,75915.408929,77060.596429,sl,28,-1.0,-1.281,100,0.171
BTCUSDT,1777374900000,short,76340.1,76516.010714,75900.323214,75900.323214,tp,36,2.5,1.979,100,0.092
BTCUSDT,1777375500000,short,76309.8,76507.907143,75814.532143,75814.532143,tp,35,2.5,2.038,100,0.104
BTCUSDT,1777381500000,short,76078.5,76335.0,75437.25,76335.0,sl,8,-1.0,-1.356,100,0.135
BTCUSDT,1777382100000,short,76084.8,76375.603571,75357.791071,76375.603571,sl,6,-1.0,-1.314,100,0.153
BTCUSDT,1777383000000,short,76150.3,76438.835714,75428.960714,76162.3,time,60,-0.042,-0.358,100,0.152
BTCUSDT,1777386300000,short,75800.2,76212.521429,74769.396429,76212.521429,sl,29,-1.0,-1.221,100,0.218
BTCUSDT,1777479300000,short,75864.4,76309.292857,74752.167857,75854.1,time,60,0.023,-0.181,100,0.235
BTCUSDT,1777485900000,short,74982.0,75507.785714,73667.535714,75507.785714,sl,10,-1.0,-1.171,100,0.28
BTCUSDT,1777683900000,long,78331.5,78152.392857,78779.267857,78152.392857,sl,43,-1.0,-1.525,100,0.091
BTCUSDT,1777684200000,long,78332.6,78155.046429,78776.483929,78155.046429,sl,42,-1.0,-1.529,100,0.091
BTCUSDT,1777685400000,long,78376.9,78204.310714,78808.373214,78204.310714,sl,20,-1.0,-1.545,100,0.088
BTCUSDT,1777686600000,long,78307.9,78150.9,78700.4,78150.9,sl,34,-1.0,-1.599,100,0.08
BTCUSDT,1777731900000,long,78383.3,78262.442857,78685.442857,78413.4,time,60,0.249,-0.529,100,0.062
BTCUSDT,1777737300000,long,78445.5,78353.214286,78676.214286,78353.214286,sl,23,-1.0,-2.02,100,0.047
BTCUSDT,1777737900000,long,78478.7,78377.271429,78732.271429,78377.271429,sl,12,-1.0,-1.928,100,0.052
BTCUSDT,1777738200000,long,78504.2,78400.503571,78763.441071,78400.503571,sl,6,-1.0,-1.908,100,0.053
BTCUSDT,1777791900000,long,78354.0,78215.696429,78699.758929,78699.758929,tp,55,2.5,1.82,100,0.071
BTCUSDT,1777795500000,long,78413.6,78271.403571,78769.091071,78769.091071,tp,44,2.5,1.838,100,0.073
BTCUSDT,1777800000000,long,78448.0,78346.875,78700.8125,78346.875,sl,20,-1.0,-1.931,100,0.052
BTCUSDT,1777800300000,long,78457.9,78354.489286,78716.426786,78354.489286,sl,19,-1.0,-1.91,100,0.053
BTCUSDT,1777800900000,long,78562.4,78437.489286,78874.676786,78437.489286,sl,5,-1.0,-1.755,100,0.064
BTCUSDT,1777845600000,long,79074.7,78814.235714,79725.860714,78814.235714,sl,15,-1.0,-1.364,100,0.132
BTCUSDT,1777846200000,long,79229.8,78880.55,80102.925,78880.55,sl,13,-1.0,-1.272,100,0.176
BTCUSDT,1777868100000,long,80464.2,80089.825,81400.1375,80089.825,sl,11,-1.0,-1.258,100,0.186
BTCUSDT,1777952100000,long,80813.3,80416.103571,81806.291071,80693.4,time,60,-0.302,-0.546,100,0.197
BTCUSDT,1777980900000,long,80972.3,80750.889286,81525.826786,81525.826786,tp,18,2.5,2.061,100,0.109
BTCUSDT,1778056200000,long,81673.4,81415.096429,82319.158929,82319.158929,tp,28,2.5,2.121,100,0.127
BTCUSDT,1778059800000,long,81883.9,81461.917857,82938.855357,81461.917857,sl,54,-1.0,-1.233,100,0.206
BTCUSDT,1778062200000,long,81990.3,81659.192857,82818.067857,81659.192857,sl,43,-1.0,-1.297,100,0.162
BTCUSDT,1778136600000,long,81360.0,81125.089286,81947.276786,81125.089286,sl,26,-1.0,-1.416,100,0.115
BTCUSDT,1778292000000,long,80391.0,80240.571429,80767.071429,80240.571429,sl,55,-1.0,-1.641,100,0.075
BTCUSDT,1778347500000,long,80784.7,80609.467857,81222.780357,80716.0,time,60,-0.392,-0.945,100,0.087
BTCUSDT,1778347800000,long,80816.9,80660.542857,81207.792857,80660.542857,sl,60,-1.0,-1.62,100,0.077
BTCUSDT,1778384100000,long,80828.4,80703.953571,81139.516071,80703.953571,sl,14,-1.0,-1.779,100,0.062
BTCUSDT,1778384700000,long,80784.2,80655.646429,81105.583929,80655.646429,sl,24,-1.0,-1.754,100,0.064
ETHUSDT,1776709800000,long,2329.18,2313.090714,2369.403214,2313.090714,sl,54,-1.0,-1.174,100,0.276
ETHUSDT,1776717900000,long,2335.05,2323.267857,2364.505357,2323.267857,sl,5,-1.0,-1.238,100,0.202
ETHUSDT,1776718800000,long,2340.52,2327.6825,2372.61375,2327.6825,sl,2,-1.0,-1.219,100,0.219
ETHUSDT,1776824100000,long,2344.78,2328.240714,2386.128214,2386.128214,tp,36,2.5,2.33,100,0.282
ETHUSDT,1776861900000,long,2400.12,2387.92,2430.62,2387.92,sl,47,-1.0,-1.236,100,0.203
ETHUSDT,1776864900000,long,2407.21,2390.838571,2448.138571,2390.838571,sl,11,-1.0,-1.176,100,0.272
ETHUSDT,1776872100000,long,2408.35,2386.110714,2463.948214,2386.110714,sl,14,-1.0,-1.13,100,0.369
ETHUSDT,1776934800000,short,2328.05,2338.857143,2301.032143,2320.93,time,60,0.659,0.4,100,0.186
